Directory : c:\Users\Spanri\Desktop\CRM-diplom
Date : 2019-06-13 04:00:26
Total : 464 files,  70825 codes, 8798 comments, 11001 blanks, all 90624 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| staticfiles\admin\css\dashboard.7ac78187c567.css                               | CSS              |         19 |          2 |          7 |         28 |
| staticfiles\admin\css\dashboard.css                                            | CSS              |         19 |          2 |          7 |         28 |
| staticfiles\admin\css\fonts.168bab448fee.css                                   | CSS              |         18 |          0 |          3 |         21 |
| staticfiles\admin\css\fonts.cc6140298ba7.css                                   | CSS              |         18 |          0 |          3 |         21 |
| staticfiles\admin\css\fonts.css                                                | CSS              |         18 |          0 |          3 |         21 |
| staticfiles\admin\css\forms.005170d00292.css                                   | CSS              |        417 |         11 |        105 |        533 |
| staticfiles\admin\css\forms.31b2f650d92e.css                                   | CSS              |        417 |         11 |        105 |        533 |
| staticfiles\admin\css\forms.8e9f67423063.css                                   | CSS              |        417 |         11 |        105 |        533 |
| staticfiles\admin\css\forms.css                                                | CSS              |        417 |         11 |        105 |        533 |
| staticfiles\admin\css\login.252ffabd6548.css                                   | CSS              |         65 |          1 |         14 |         80 |
| staticfiles\admin\css\login.css                                                | CSS              |         65 |          1 |         14 |         80 |
| staticfiles\admin\css\responsive.3a465780d49f.css                              | CSS              |        748 |         28 |        217 |        993 |
| staticfiles\admin\css\responsive.css                                           | CSS              |        748 |         28 |        217 |        993 |
| staticfiles\admin\css\responsive_rtl.51c7445ceeff.css                          | CSS              |         67 |          2 |         16 |         85 |
| staticfiles\admin\css\responsive_rtl.css                                       | CSS              |         67 |          2 |         16 |         85 |
| staticfiles\admin\css\rtl.30f903442dc5.css                                     | CSS              |        199 |         10 |         61 |        270 |
| staticfiles\admin\css\rtl.css                                                  | CSS              |        199 |         10 |         61 |        270 |
| staticfiles\admin\css\vendor\select2\LICENSE-SELECT2.7cf1de939f3b.md           | Markdown         |         17 |          0 |          5 |         22 |
| staticfiles\admin\css\vendor\select2\LICENSE-SELECT2.md                        | Markdown         |         17 |          0 |          5 |         22 |
| staticfiles\admin\css\vendor\select2\select2.3805311d5fc1.css                  | CSS              |        427 |          0 |         58 |        485 |
| staticfiles\admin\css\vendor\select2\select2.css                               | CSS              |        427 |          0 |         58 |        485 |
| staticfiles\admin\css\vendor\select2\select2.min.css                           | CSS              |          1 |          0 |          1 |          2 |
| staticfiles\admin\css\vendor\select2\select2.min.d44571114a90.css              | CSS              |          1 |          0 |          1 |          2 |
| staticfiles\admin\css\widgets.5e372b41c483.css                                 | CSS              |        458 |          8 |        100 |        566 |
| staticfiles\admin\css\widgets.a7251c097987.css                                 | CSS              |        458 |          8 |        100 |        566 |
| staticfiles\admin\css\widgets.css                                              | CSS              |        458 |          8 |        100 |        566 |
| staticfiles\admin\img\calendar-icons.39b290681a8b.svg                          | XML              |         14 |          0 |          1 |         15 |
| staticfiles\admin\img\calendar-icons.svg                                       | XML              |         14 |          0 |          1 |         15 |
| staticfiles\admin\img\gis\move_vertex_off.7a23bf31ef8a.svg                     | XML              |          1 |          0 |          0 |          1 |
| staticfiles\admin\img\gis\move_vertex_off.svg                                  | XML              |          1 |          0 |          0 |          1 |
| staticfiles\admin\img\gis\move_vertex_on.0047eba25b67.svg                      | XML              |          1 |          0 |          0 |          1 |
| staticfiles\admin\img\gis\move_vertex_on.svg                                   | XML              |          1 |          0 |          0 |          1 |
| staticfiles\admin\img\icon-addlink.d519b3bab011.svg                            | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-addlink.svg                                         | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-alert.034cc7d8a67f.svg                              | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-alert.svg                                           | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-calendar.ac7aea671bea.svg                           | XML              |          9 |          0 |          1 |         10 |
| staticfiles\admin\img\icon-calendar.svg                                        | XML              |          9 |          0 |          1 |         10 |
| staticfiles\admin\img\icon-changelink.18d2fd706348.svg                         | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-changelink.svg                                      | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-clock.e1d4dfac3f2b.svg                              | XML              |          9 |          0 |          1 |         10 |
| staticfiles\admin\img\icon-clock.svg                                           | XML              |          9 |          0 |          1 |         10 |
| staticfiles\admin\img\icon-deletelink.564ef9dc3854.svg                         | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-deletelink.svg                                      | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-no.439e821418cd.svg                                 | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-no.svg                                              | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-unknown-alt.81536e128bb6.svg                        | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-unknown-alt.svg                                     | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-unknown.a18cb4398978.svg                            | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-unknown.svg                                         | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-viewlink.41eb31f7826e.svg                           | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-viewlink.svg                                        | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-yes.d2f9f035226a.svg                                | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\icon-yes.svg                                             | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\inline-delete.fec1b761f254.svg                           | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\inline-delete.svg                                        | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\search.7cf54ff789c6.svg                                  | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\search.svg                                               | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\selector-icons.b4555096cea2.svg                          | XML              |         34 |          0 |          1 |         35 |
| staticfiles\admin\img\selector-icons.svg                                       | XML              |         34 |          0 |          1 |         35 |
| staticfiles\admin\img\sorting-icons.3a097b59f104.svg                           | XML              |         19 |          0 |          1 |         20 |
| staticfiles\admin\img\sorting-icons.svg                                        | XML              |         19 |          0 |          1 |         20 |
| staticfiles\admin\img\tooltag-add.e59d620a9742.svg                             | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\tooltag-add.svg                                          | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\tooltag-arrowright.bbfb788a849e.svg                      | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\img\tooltag-arrowright.svg                                   | XML              |          3 |          0 |          1 |          4 |
| staticfiles\admin\js\SelectBox.b49f008d186b.js                                 | JavaScript       |        138 |          6 |          1 |        145 |
| staticfiles\admin\js\SelectBox.js                                              | JavaScript       |        138 |          6 |          1 |        145 |
| staticfiles\admin\js\SelectFilter2.32ea9335ce47.js                             | JavaScript       |        198 |         29 |         20 |        247 |
| staticfiles\admin\js\SelectFilter2.js                                          | JavaScript       |        198 |         29 |         20 |        247 |
| staticfiles\admin\js\actions.2fb8e8349c22.js                                   | JavaScript       |        146 |          6 |          2 |        154 |
| staticfiles\admin\js\actions.js                                                | JavaScript       |        146 |          6 |          2 |        154 |
| staticfiles\admin\js\actions.min.5fa8cb0403f1.js                               | JavaScript       |          7 |          0 |          1 |          8 |
| staticfiles\admin\js\actions.min.js                                            | JavaScript       |          7 |          0 |          1 |          8 |
| staticfiles\admin\js\admin\DateTimeShortcuts.c085703ffd82.js                   | JavaScript       |        327 |         70 |         27 |        424 |
| staticfiles\admin\js\admin\DateTimeShortcuts.js                                | JavaScript       |        327 |         70 |         27 |        424 |
| staticfiles\admin\js\admin\RelatedObjectLookups.ea0683bea064.js                | JavaScript       |        153 |         12 |         17 |        182 |
| staticfiles\admin\js\admin\RelatedObjectLookups.js                             | JavaScript       |        153 |         12 |         17 |        182 |
| staticfiles\admin\js\autocomplete.cfd2c4dc8981.js                              | JavaScript       |         32 |          2 |          4 |         38 |
| staticfiles\admin\js\autocomplete.js                                           | JavaScript       |         32 |          2 |          4 |         38 |
| staticfiles\admin\js\calendar.aae57adab5f6.js                                  | JavaScript       |        164 |         28 |         17 |        209 |
| staticfiles\admin\js\calendar.js                                               | JavaScript       |        164 |         28 |         17 |        209 |
| staticfiles\admin\js\cancel.d6b4b556c3aa.js                                    | JavaScript       |         13 |          0 |          1 |         14 |
| staticfiles\admin\js\cancel.js                                                 | JavaScript       |         13 |          0 |          1 |         14 |
| staticfiles\admin\js\change_form.9e85003a1a38.js                               | JavaScript       |         17 |          1 |          3 |         21 |
| staticfiles\admin\js\change_form.js                                            | JavaScript       |         17 |          1 |          3 |         21 |
| staticfiles\admin\js\collapse.1007b1686bfd.js                                  | JavaScript       |         45 |          6 |          2 |         53 |
| staticfiles\admin\js\collapse.js                                               | JavaScript       |         45 |          6 |          2 |         53 |
| staticfiles\admin\js\collapse.min.d4e905d48000.js                              | JavaScript       |          2 |          0 |          1 |          3 |
| staticfiles\admin\js\collapse.min.js                                           | JavaScript       |          2 |          0 |          1 |          3 |
| staticfiles\admin\js\core.9c3bce7d1006.js                                      | JavaScript       |        171 |         22 |         20 |        213 |
| staticfiles\admin\js\core.js                                                   | JavaScript       |        171 |         22 |         20 |        213 |
| staticfiles\admin\js\inlines.3b3fb199b064.js                                   | JavaScript       |        236 |         47 |         16 |        299 |
| staticfiles\admin\js\inlines.js                                                | JavaScript       |        236 |         47 |         16 |        299 |
| staticfiles\admin\js\inlines.min.4d23f8660b21.js                               | JavaScript       |         13 |          0 |          1 |         14 |
| staticfiles\admin\js\inlines.min.js                                            | JavaScript       |         13 |          0 |          1 |         14 |
| staticfiles\admin\js\jquery.init.95b62fa19378.js                               | JavaScript       |          2 |          6 |          1 |          9 |
| staticfiles\admin\js\jquery.init.js                                            | JavaScript       |          2 |          6 |          1 |          9 |
| staticfiles\admin\js\popup_response.6ce3197f8fc8.js                            | JavaScript       |         15 |          1 |          1 |         17 |
| staticfiles\admin\js\popup_response.js                                         | JavaScript       |         15 |          1 |          1 |         17 |
| staticfiles\admin\js\prepopulate.2f90da7170ec.js                               | JavaScript       |         28 |         10 |          5 |         43 |
| staticfiles\admin\js\prepopulate.js                                            | JavaScript       |         28 |         10 |          5 |         43 |
| staticfiles\admin\js\prepopulate.min.85fd5e0fb706.js                           | JavaScript       |          1 |          0 |          1 |          2 |
| staticfiles\admin\js\prepopulate.min.js                                        | JavaScript       |          1 |          0 |          1 |          2 |
| staticfiles\admin\js\prepopulate_init.0d3b53c37074.js                          | JavaScript       |         10 |          0 |          1 |         11 |
| staticfiles\admin\js\prepopulate_init.js                                       | JavaScript       |         10 |          0 |          1 |         11 |
| staticfiles\admin\js\timeparse.51258861a46a.js                                 | JavaScript       |         97 |          7 |          3 |        107 |
| staticfiles\admin\js\timeparse.js                                              | JavaScript       |         97 |          7 |          3 |        107 |
| staticfiles\admin\js\urlify.4087f3e18796.js                                    | JavaScript       |        181 |          8 |          7 |        196 |
| staticfiles\admin\js\urlify.js                                                 | JavaScript       |        181 |          8 |          7 |        196 |
| staticfiles\admin\js\vendor\jquery\jquery.6a07da9fae93.js                      | JavaScript       |      6,689 |      1,725 |      1,951 |     10,365 |
| staticfiles\admin\js\vendor\jquery\jquery.js                                   | JavaScript       |      6,689 |      1,725 |      1,951 |     10,365 |
| staticfiles\admin\js\vendor\jquery\jquery.min.a09e13ee94d5.js                  | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\jquery\jquery.min.js                               | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\LICENSE.7cf1de939f3b.md                    | Markdown         |         17 |          0 |          5 |         22 |
| staticfiles\admin\js\vendor\select2\LICENSE.md                                 | Markdown         |         17 |          0 |          5 |         22 |
| staticfiles\admin\js\vendor\select2\i18n\ar.a8bb27ec698c.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ar.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\az.498dc667b34e.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\az.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\bg.89cba4df3c86.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\bg.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ca.2eaad4eb1950.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\ca.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\cs.a68bcd293adc.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\cs.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\da.cbf897a0ae53.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\da.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\de.366d0aacb55f.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\de.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\el.5629ce65500f.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\el.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\en.05649b26c086.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\en.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\es.dc9dbf9d65df.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\es.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\et.c3953fb90b6b.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\et.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\eu.11b925456433.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\eu.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\fa.98e52839b583.js                    | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\fa.js                                 | JavaScript       |          1 |          1 |          1 |          3 |
| staticfiles\admin\js\vendor\select2\i18n\fi.659847deefdc.js                    | JavaScript       |          1 |          1 |          1 |          3 |
